iter	Passed	Remaining
267	5085	13890
268	5106	13875
269	5127	13862
270	5145	13841
271	5165	13825
272	5181	13797
273	5196	13768
274	5212	13742
275	5228	13714
276	5243	13685
277	5257	13655
278	5274	13631
279	5292	13609
280	5309	13585
281	5325	13559
282	5342	13534
283	5360	13514
284	5376	13489
285	5394	13467
286	5411	13442
287	5425	13413
288	5440	13385
289	5455	13356
290	5469	13327
291	5486	13302
292	5501	13276
293	5517	13249
294	5534	13227
295	5552	13205
296	5569	13184
297	5586	13160
298	5602	13135
299	5619	13113
300	5638	13094
301	5655	13070
302	5671	13045
303	5685	13016
304	5699	12987
305	5713	12957
306	5726	12925
307	5739	12896
308	5754	12867
309	5768	12839
310	5782	12811
311	5799	12787
312	5814	12762
313	5828	12732
314	5840	12701
315	5853	12670
316	5866	12640
317	5879	12608
318	5891	12576
319	5903	12545
320	5917	12517
321	5930	12487
322	5943	12457
323	5956	12427
324	5969	12398
325	5982	12368
326	5994	12337
327	6007	12307
328	6019	12277
329	6034	12250
330	6047	12221
331	6059	12192
332	6072	12163
333	6084	12133
334	6098	12105
335	6110	12075
336	6124	12048
337	6136	12018
338	6150	11992
339	6164	11965
340	6176	11936
341	6188	11907
342	6201	11878
343	6214	11851
344	6227	11823
345	6240	11794
346	6254	11769
347	6266	11740
348	6279	11713
349	6292	11686
350	6305	11658
351	6316	11628
352	6330	11603
353	6345	11579
354	6359	11554
355	6372	11528
356	6385	11501
357	6397	11473
358	6410	11446
359	6423	11419
360	6436	11393
361	6448	11365
362	6460	11337
363	6473	11310
364	6485	11282
365	6498	11256
366	6509	11228
367	6523	11202
368	6535	11176
369	6548	11150
370	6560	11122
371	6573	11097
372	6586	11072
373	6599	11046
374	6611	11018
375	6623	10992
376	6636	10967
377	6649	10941
378	6661	10915
379	6674	10889
380	6687	10864
381	6699	10838
382	6714	10816
383	6728	10794
384	6741	10769
385	6756	10747
386	6770	10723
387	6785	10702
388	6800	10681
389	6815	10659
390	6830	10638
391	6845	10618
392	6866	10605
393	6885	10590
394	6902	10572
395	6915	10547
396	6928	10524
397	6941	10499
398	6953	10473
399	6965	10448
400	6978	10424
401	6991	10400
402	7003	10375
403	7015	10350
404	7028	10325
